oferta,precio,mts,bathrooms,recamaras,lat,lon,fuente,fecha_consulta,precio_m2
preventa departamento anzures 45.48 m2  depto 1003 1011,3103488.0,45.48,,2.0,19.4325167,-99.1746078,easyaviso,2025-05-09 13:25:53.299823,68238.52242744064
preventa departamento anzures 45.48 m2  depto 903 911,3088488.0,45.48,,2.0,19.4345167,-99.1726078,easyaviso,2025-05-09 13:25:53.299823,67908.70712401056
preventa departamento anzures 45.48 m2  depto 803 811,3073488.0,45.48,,2.0,19.4345167,-99.1726078,easyaviso,2025-05-09 13:25:53.299823,67578.89182058048
preventa departamento anzures 45.48 m2  depto 703 711,3058488.0,45.48,,2.0,19.4385167,-99.1686078,easyaviso,2025-05-09 13:25:53.299823,67249.0765171504
preventa departamento anzures 45.48 m2  depto 603 611,3043488.0,45.48,,2.0,19.4385167,-99.1686078,easyaviso,2025-05-09 13:25:53.299823,66919.26121372033
preventa departamento anzures 45.48 m2  depto 503 511,3028488.0,45.48,,2.0,19.4345167,-99.1726078,easyaviso,2025-05-09 13:25:53.299823,66589.44591029025
preventa departamento anzures 45.48 m2  depto 403 411,3013488.0,45.48,,2.0,19.4335167,-99.1736078,easyaviso,2025-05-09 13:25:53.299823,66259.63060686017
preventa departamento anzures 45.48 m2  depto 303 311,2998488.0,45.48,,2.0,19.4365167,-99.1706078,easyaviso,2025-05-09 13:25:53.299823,65929.81530343008
preventa departamento anzures 45.48 m2  depto 203 211,2983488.0,45.48,,2.0,19.4345167,-99.1726078,easyaviso,2025-05-09 13:25:53.299823,65600.0
preventa departamento anzures 45.48 m2  depto 103,2968488.0,45.48,,2.0,19.4365167,-99.1706078,easyaviso,2025-05-09 13:25:53.299823,65270.18469656992
departamento en venta col san rafael,3539000.0,67.0,2.0,2.0,19.4356092,-99.1644128,easyaviso,2025-05-09 13:25:53.299823,52820.89552238806
departamento en venta en san rafael 1 recamaras,3977000.0,73.0,,,19.4373201,-99.1617645,easyaviso,2025-05-09 13:25:53.299823,54479.45205479452
departamento en venta en san rafael 1 recamaras,3918800.0,71.0,,,19.4374624,-99.1618411,easyaviso,2025-05-09 13:25:53.299823,55194.366197183095
departamento en venta en polanco campos eliseos,33135040.0,282.0,4.0,3.0,19.4254227,-99.1545654,easyaviso,2025-05-09 13:25:53.299823,117500.14184397164
venta departamentos col. cuauhtemoc,5450000.0,74.25,2.0,2.0,19.4298854,-99.1691796,easyaviso,2025-05-09 13:25:53.299823,73400.6734006734
venta departamentos col. san rafael,3600000.0,51.0,,,19.4356867,-99.160168,easyaviso,2025-05-09 13:25:53.299823,70588.23529411765
venta departamentos col. cuauhtemoc,7450000.0,80.5,2.0,2.0,19.4284411,-99.1690587,easyaviso,2025-05-09 13:25:53.299823,92546.58385093168
venta departamentos col. cuauhtemoc,6317500.0,75.7,2.0,2.0,19.4335862,-99.1698593,easyaviso,2025-05-09 13:25:53.299823,83454.42536327608
venta departamento col. cuauhtemoc,5943866.0,76.4,2.0,2.0,19.4292751,-99.1705033,easyaviso,2025-05-09 13:25:53.299823,77799.29319371727
venta departamento col san rafael,4850000.0,66.19,2.0,2.0,19.4389929,-99.1635993,easyaviso,2025-05-09 13:25:53.299823,73273.9084453845
departamento en venta colonia san rafael con terraza,6500000.0,148.0,2.0,3.0,19.4389685803,-99.1636205367,easyaviso,2025-05-09 13:25:53.299823,43918.91891891892
departamento en venta en distum marina nacional veronica anzures,5400095.0,83.0,2.0,2.0,19.4376516,-99.1724718,easyaviso,2025-05-09 13:25:53.299823,65061.385542168675
preventa departamento anzures 44.52 m2  depto 1504,3115512.0,44.52,,2.0,19.4335167,-99.1736078,easyaviso,2025-05-09 13:25:53.299823,69980.0539083558
preventa departamento anzures 44.52 m2  depto 1404 1410,3100512.0,44.52,,2.0,19.4385167,-99.1686078,easyaviso,2025-05-09 13:25:53.299823,69643.12668463611
preventa departamento anzures 44.52 m2  depto 1304,3085512.0,44.52,,2.0,19.4325167,-99.1746078,easyaviso,2025-05-09 13:25:53.299823,69306.19946091644
preventa departamento anzures 44.52 m2  depto 1210,3070512.0,44.52,,2.0,19.4365167,-99.1706078,easyaviso,2025-05-09 13:25:53.299823,68969.27223719675
preventa departamento anzures 44.52 m2  depto 1104 1110,3055512.0,44.52,,2.0,19.4335167,-99.1736078,easyaviso,2025-05-09 13:25:53.299823,68632.34501347708
preventa departamento anzures 44.52 m2  depto 1004,3040512.0,44.52,,2.0,19.4325167,-99.1746078,easyaviso,2025-05-09 13:25:53.299823,68295.41778975741
