,oferta,precio,mts,bathrooms,recamaras,fuente,fecha_consulta,precio_m2,latitud,longitud,UT,CVEUT
41,departamento en venta ritz carlton,3.20E+07,117,2,2,easyaviso,25:53.3,273504.2735,19.423797,-99.1756078,CUAUHTEMOC,15-009
42,departamento en venta o renta en ritz carlton residences reforma cuauhtemoc,1.50E+07,63,NA,NA,easyaviso,25:53.3,238095.2381,19.4240425,-99.1757592,CUAUHTEMOC,15-009
43,departamento en venta  en reforma 222,3.20E+07,290,2,2,easyaviso,25:53.3,110344.8276,19.4255584,-99.1711814,CUAUHTEMOC,15-009
44,departamento en venta en cuauhtemoc ultimo precio,4700000,85,NA,2,easyaviso,25:53.3,55294.11765,19.4295694,-99.1650953,CUAUHTEMOC,15-009
45,venta de departamento en colonia cuauhtemoc,5990000,79.6,NA,NA,easyaviso,25:53.3,75251.25628,19.4332175,-99.1711272,CUAUHTEMOC,15-009
46,preventa departamento de 2 recamaras con balcon,6518338,75,2,2,easyaviso,25:53.3,86911.17333,19.4301322,-99.1691413,CUAUHTEMOC,15-009
47,venta  de ph de 2 recamaras en col. cuauhtemoc solo para inversionistas,7900000,158,2,2,easyaviso,25:53.3,50000,19.4301322,-99.1691413,CUAUHTEMOC,15-009
48,venta ph con roof garden y balcon a estrenar col. cuauhtemoc,6500000,134,NA,NA,easyaviso,25:53.3,48507.46269,19.4316439,-99.1608004,CUAUHTEMOC,15-009
49,amplio ph en venta a estrenar con roof garden privado colonia cuauhtemoc,8390000,163,2,3,easyaviso,25:53.3,51472.39264,19.4255513,-99.1751531,CUAUHTEMOC,15-009
50,hermosos departamentos a estrenar en venta en colonia cuauhtemoc,5350000,85,NA,2,easyaviso,25:53.3,62941.17647,19.4255513,-99.1751531,CUAUHTEMOC,15-009
51,departamento exterior con terraza,8500000,150,2,3,easyaviso,25:53.3,56666.66667,19.4332329,-99.1660573,CUAUHTEMOC,15-009
52,colonia cuauhtemoc departamento en venta,7612752,80,2,2,easyaviso,25:53.3,95159.4,19.4269984,-99.1701674,CUAUHTEMOC,15-009
53,departamento en venta colonia cuauhtemoc,5268330,58,NA,NA,easyaviso,25:53.3,90833.27586,19.4269984,-99.1701674,CUAUHTEMOC,15-009
54,departamento en cuauhtemoc,1910000,42,NA,2,easyaviso,25:53.3,45476.19048,19.4346971,-99.1689567,CUAUHTEMOC,15-009
55,departamento en la calle rio ebro para modernizar,2700000,54,NA,2,easyaviso,25:53.3,50000,19.432648,-99.1713434,CUAUHTEMOC,15-009
56,departamento en venta en colonia cuauhtemoc 8390000,8390000,138.5,2,3,easyaviso,25:53.3,60577.61733,19.42596317,-99.17545081,CUAUHTEMOC,15-009
57,rio papaloapan i cuauhtemoc cuauhtemoc cdmx,6431100,63.74,2,2,easyaviso,25:53.3,100895.8268,19.4325028,-99.1624324,CUAUHTEMOC,15-009
58,departamento en venta en rio elba 13 cuauhtemoc cdmx,6690000,116.5,2,2,easyaviso,25:53.3,57424.8927,19.426062,-99.1755442,CUAUHTEMOC,15-009
59,departamento en venta en  rio elba 13,4940000,81.5,NA,2,easyaviso,25:53.3,60613.49693,19.426062,-99.1755442,CUAUHTEMOC,15-009
60,departamento en venta en rio elba 13 cuauhtemoc cdmx,8390000,138.5,2,3,easyaviso,25:53.3,60577.61733,19.426062,-99.1755442,CUAUHTEMOC,15-009
61,departamento venta cuauhtemoc paseo de la reforma,4803000,71,NA,NA,easyaviso,25:53.3,67647.88732,19.4271915,-99.1726439,CUAUHTEMOC,15-009
62,departamento venta cuauhtemoc paseo de la reforma,4755000,71,NA,NA,easyaviso,25:53.3,66971.83099,19.4271915,-99.1726439,CUAUHTEMOC,15-009
63,rio gudalquivir 31 departamento en preventa 2 recamaras desde 98.05m2,6942835,NA,NA,2,easyaviso,25:53.3,NA,19.4306645,-99.1713662,CUAUHTEMOC,15-009
64,rio grijalva 35 departamento en preventa 2 recamaras con balcon desde 75.7m2,5842500,NA,2,2,easyaviso,25:53.3,NA,19.4339137,-99.170432,CUAUHTEMOC,15-009
65,departamento en venta y renta en paseo de la reforma,6950000,140,2,2,easyaviso,25:53.3,49642.85714,19.4277893,-99.171524,CUAUHTEMOC,15-009
