,oferta,precio,mts,bathrooms,recamaras,fuente,fecha_consulta,precio_m2,latitud,longitud,UT,CVEUT
173,departamento en venta en rio rin cuauhtemoc cdmx.,5685000,71.54,2,2,easyaviso,25:53.3,79466.03299,19.4333378,-99.1663083,CUAUHTEMOC,15-009
174,departamento a la venta en colonia cuauhtemoc,6847892,90,2,2,easyaviso,25:53.3,76087.68889,19.4303847,-99.17109489,CUAUHTEMOC,15-009
175,departamento en venta rio rin cuauhtemoc cdmx.,6485000,71.54,2,2,easyaviso,25:53.3,90648.5882,19.4333378,-99.1663083,CUAUHTEMOC,15-009
176,departamento en venta en colonia cuauhtemoc,6850000,89,2,2,easyaviso,25:53.3,76966.29213,19.4303847,-99.17109489,CUAUHTEMOC,15-009
177,departamentos en preventa en cuauhtemoc entrega enero 2026,6183619,72.25,NA,2,easyaviso,25:53.3,85586.42215,19.4316645,-99.1703662,CUAUHTEMOC,15-009
178,departamentos en preventa en cuauhtemoc entrega en octubre 2025,6887500,83.9,2,2,easyaviso,25:53.3,82091.77592,19.4344119,-99.1692157,CUAUHTEMOC,15-009
179,tu depa ideal grande ubicado y una super terraza.,7100000,127.5,2,NA,easyaviso,25:53.3,55686.27451,19.4317414,-99.1650569,CUAUHTEMOC,15-009
180,venta residencia ritz carlton,68219200,240,2,2,easyaviso,25:53.3,284246.6667,19.4246557,-99.1755946,CUAUHTEMOC,15-009
181,departamento en venta colonia cuauhtemoc,5975000,70,2,2,easyaviso,25:53.3,85357.14286,19.4317498,-99.1652508,CUAUHTEMOC,15-009
182,departamento en venta colonia cuauhtemoc,6475000,70,2,2,easyaviso,25:53.3,92500,19.4317498,-99.1652508,CUAUHTEMOC,15-009
183,departamento en venta colonia cuauhtemoc,6975000,70,2,2,easyaviso,25:53.3,99642.85714,19.4317498,-99.1652508,CUAUHTEMOC,15-009
184,departamento en cuauhtemoc circuito melchor ocampo,4600000,98,2,2,easyaviso,25:53.3,46938.77551,19.4258824,-99.1758892,CUAUHTEMOC,15-009
185,venta departamento nuevo cuauhtemoc,4899000,67.64,2,2,easyaviso,25:53.3,72427.55766,19.4333378,-99.1663083,CUAUHTEMOC,15-009
186,departamento venta san rafael 109 m2   depto 205,6050646,109,2,2,easyaviso,25:53.3,55510.51376,19.4343442,-99.1672038,CUAUHTEMOC,15-009
187,departamento venta san rafael 103 m2   depto 204,5991034,103,2,2,easyaviso,25:53.3,58165.37864,19.4343442,-99.1672038,CUAUHTEMOC,15-009
188,exclusivo departamento 183 m2 obra gris paseo de la reforma cdmx,31185920,183,NA,2,easyaviso,25:53.3,170414.8634,19.4256427,-99.172342,CUAUHTEMOC,15-009
189,espectacular departamento 271 m2 paseo de la reforma cdmx,72117440,271,3,3,easyaviso,25:53.3,266116.0148,19.4256427,-99.172342,CUAUHTEMOC,15-009
190,rio danubio con terraza,6800000,115,NA,2,easyaviso,25:53.3,59130.43478,19.430371,-99.1676058,CUAUHTEMOC,15-009
191,venta de departamento en cuauhtemoc circuito melchor ocampo 4600.000.00 pg vi,4600000,98,2,2,easyaviso,25:53.3,46938.77551,19.4257907,-99.1761325,CUAUHTEMOC,15-009
192,venta de departamento nuevo 5460.286.00 col. cuahutemoc pg,5460286,79,2,2,easyaviso,25:53.3,69117.5443,19.4322587,-99.1718333,CUAUHTEMOC,15-009
193,venta departamento nuevo  5.052.570.000 col cuahutemoc pg,5052570,72,2,2,easyaviso,25:53.3,70174.58333,19.4322587,-99.1718333,CUAUHTEMOC,15-009
194,precioso  departamento amueblado rio tiber col. cuauhtemoc,9750000,140,2,2,easyaviso,25:53.3,69642.85714,19.4306406,-99.1695675,CUAUHTEMOC,15-009
195,departamento en cuauhtemoc de entrega inmediata,5990000,97.75,2,2,easyaviso,25:53.3,61278.77238,19.42839,-99.1686023,CUAUHTEMOC,15-009
196,estrena departamento en colonia cuauhtemoc  con roofgarden,7475000,70,2,2,easyaviso,25:53.3,106785.7143,19.4317498,-99.1652508,CUAUHTEMOC,15-009
197,penthouse venta cuauhtemoc  ubicadisimo y con roof privado  super location,8960000,180,2,2,easyaviso,25:53.3,49777.77778,19.4282761,-99.1716227,CUAUHTEMOC,15-009
198,venta. departamento una calle de paseo de la reforma.,4200000,70,NA,4,easyaviso,25:53.3,60000,19.4300545,-99.1646821,CUAUHTEMOC,15-009
199,venta  de ph  en col. cuauhtemoc solo para inversionistas,7900000,158,2,2,easyaviso,25:53.3,50000,19.4301322,-99.1691413,CUAUHTEMOC,15-009
200,departamento en venta colonia cuauhtemoc,7475000,70,2,2,easyaviso,25:53.3,106785.7143,19.4317498,-99.1652508,CUAUHTEMOC,15-009
201,venta departamento col. cuauhtemoc,5950000,81.7,2,2,easyaviso,25:53.3,72827.41738,19.4292751,-99.1705033,CUAUHTEMOC,15-009
202,depto de lujo ritz reforma,18516640,83,NA,NA,easyaviso,25:53.3,223092.0482,19.4273694,-99.1684647,CUAUHTEMOC,15-009
203,departamento en venta en colonia cuauhtemoc,6500000,78,NA,NA,easyaviso,25:53.3,83333.33333,19.4327147,-99.1715028,CUAUHTEMOC,15-009
204,fabuloso garden house,6700000,90,NA,NA,easyaviso,25:53.3,74444.44444,19.4297377,-99.1728394,CUAUHTEMOC,15-009
205,venta de departamento en cuauhtemoc rio grijalva 48.,5750000,68.7,2,2,easyaviso,25:53.3,83697.23435,19.4331434,-99.1703631,CUAUHTEMOC,15-009
206,venta de penthouse en cuauhtemoc rio grijalva 48.,8350000,74.8,2,2,easyaviso,25:53.3,111631.016,19.4331434,-99.1703631,CUAUHTEMOC,15-009
207,venta de gardenhouse en cuauhtemoc rio grijalva 48.,6250000,68.7,2,2,easyaviso,25:53.3,90975.25473,19.4331434,-99.1703631,CUAUHTEMOC,15-009
208,rio nilo. departamento con 2 terrazas. 1693,5400000,NA,2,2,easyaviso,25:53.3,NA,19.4286428,-99.1718132,CUAUHTEMOC,15-009
209,vive en el corazon de la ciudad departamento en venta en cuauhtemoc,3450000,97,NA,2,easyaviso,25:53.3,35567.01031,19.4286734,-99.1731812,CUAUHTEMOC,15-009
210,departamento con amplia terraza en venta en col. cuauhtemoc,7400000,100,2,2,easyaviso,25:53.3,74000,19.428034,-99.1665384,CUAUHTEMOC,15-009
211,departamento venta col. cuauhtemoc. zona av. paseo de la reforma.,6400000,96,2,2,easyaviso,25:53.3,66666.66667,19.4311322,-99.1681413,CUAUHTEMOC,15-009
212,venta depto ph tipo loft en rio lerma a unos pasos de paseo de la reforma,6700000,74,NA,NA,easyaviso,25:53.3,90540.54054,19.4302919,-99.1648485,CUAUHTEMOC,15-009
213,oportunidad unica en rio nilo 55 col. cuauhtemoc,6350000,140,2,2,easyaviso,25:53.3,45357.14286,19.4277893,-99.171524,CUAUHTEMOC,15-009
214,departamento en venta  en cuahutemoc  col juarez,9180000,130,NA,NA,easyaviso,25:53.3,70615.38462,19.4308301,-99.1615999,CUAUHTEMOC,15-009
215,rio rhin departamento ph con terraza,8400000,150,2,2,easyaviso,25:53.3,56000,19.43130542,-99.16482943,CUAUHTEMOC,15-009
216,exclusivo garden house con amplia terraza. oportunidad exclusiva..,7077500,70,2,2,easyaviso,25:53.3,101107.1429,19.4339137,-99.170432,CUAUHTEMOC,15-009
217,departamento en venta en rio guadalquivir cuauhtemoc,5050000,76,2,2,easyaviso,25:53.3,66447.36842,19.4321765,-99.1717473,CUAUHTEMOC,15-009
218,excelente departamento en venta en rio rhin en cuauhtemoc,6495000,71,2,2,easyaviso,25:53.3,91478.87324,19.4317498,-99.1652508,CUAUHTEMOC,15-009
219,extraordinario departamento con balcon.,8250000,77.45,2,2,easyaviso,25:53.3,106520.3357,19.4340024,-99.1698862,CUAUHTEMOC,15-009
220,hermoso departamento con balcon.,6888000,77.5,2,2,easyaviso,25:53.3,88877.41935,19.4339137,-99.170432,CUAUHTEMOC,15-009
221,hermoso departamento interior con balcon.,5940000,70,2,2,easyaviso,25:53.3,84857.14286,19.4340024,-99.1698862,CUAUHTEMOC,15-009
222,hermoso departamento con acabados de lujo.,7100000,77.5,2,2,easyaviso,25:53.3,91612.90323,19.4340024,-99.1698862,CUAUHTEMOC,15-009
223,extraordinario departamento en 1er. piso con balcon y roof privado.,7450000,92.1,NA,NA,easyaviso,25:53.3,80890.33659,19.4284411,-99.1690587,CUAUHTEMOC,15-009
224,estupendo departamento exterior con balcon y roof privado.,7550000,92.1,2,2,easyaviso,25:53.3,81976.11292,19.4284411,-99.1690587,CUAUHTEMOC,15-009
225,fabuloso departamento interior en 3er piso. con balcon.,6500000,82.9,2,2,easyaviso,25:53.3,78407.72014,19.4282629,-99.1723598,CUAUHTEMOC,15-009
226,hermoso departamento con acabados de lujo.,5750000,74.8,2,2,easyaviso,25:53.3,76871.65775,19.4264659,-99.1734568,CUAUHTEMOC,15-009
227,ph en venta col. cuauhtemoc cdmx,7500000,97,2,2,easyaviso,25:53.3,77319.58763,19.4284411,-99.1690587,CUAUHTEMOC,15-009
228,oportunidad cuauhtemoc rio rhin  en venta,6475000,70,2,2,easyaviso,25:53.3,92500,19.4310044,-99.1650972,CUAUHTEMOC,15-009
229,departamento,6500000,97.25,2,2,easyaviso,25:53.3,66838.04627,19.4318854,-99.1671796,CUAUHTEMOC,15-009
230,venta departamento en la  colonia cuautemoc excelente ubicacion,6.00E+06,NA,2,2,easyaviso,25:53.3,NA,19.4264659,-99.1734568,CUAUHTEMOC,15-009
231,cuautemoc ph con roof privado nuevo para estrenar,12450000,192,2,2,easyaviso,25:53.3,64843.75,19.4315878,-99.1714966,CUAUHTEMOC,15-009
232,the ritz carlton mexico,77964800,216.02,2,2,easyaviso,25:53.3,360914.7301,19.423797,-99.1756078,CUAUHTEMOC,15-009
233,departamento en venta ciudad de mexico en reforma,1.80E+07,78,NA,NA,easyaviso,25:53.3,230769.2308,19.4273694,-99.1684647,CUAUHTEMOC,15-009
234,exclusivo departamento amueblado en venta dentro del ritz carlton,14900000,59,NA,NA,easyaviso,25:53.3,252542.3729,19.42375741,-99.17559564,CUAUHTEMOC,15-009
235,rio guadalquivir  cuauhtemoc,9991800,100.74,2,2,easyaviso,25:53.3,99184.03812,19.4292751,-99.1705033,CUAUHTEMOC,15-009
236,penthouse en venta rio danubio cuauhtemoc 7200000,7200000,132,2,2,easyaviso,25:53.3,54545.45455,19.4298684,-99.167721,CUAUHTEMOC,15-009
237,departamento en venta en colonia cuauhtemoc,5990000,97.75,2,2,easyaviso,25:53.3,61278.77238,19.43339,-99.1636023,CUAUHTEMOC,15-009
238,departamento en venta en  villalongin cuauhtemoc,4700000,95.51,NA,2,easyaviso,25:53.3,49209.50686,19.434459,-99.1688251,CUAUHTEMOC,15-009
239,preventa departamentos en desarrollo rio papaloapan cuauhtemoc,6431100,75,2,2,easyaviso,25:53.3,85748,19.4295028,-99.1654324,CUAUHTEMOC,15-009
240,venta departamento en la colonia cuauhtemoc,3.00E+06,58,NA,2,easyaviso,25:53.3,51724.13793,19.4278551,-99.1711886,CUAUHTEMOC,15-009
241,departamento a estrenar colonia cuauhtemoc,5750000,68.7,2,2,easyaviso,25:53.3,83697.23435,19.4331732,-99.1703767,CUAUHTEMOC,15-009
242,exclusivo departamento de lujo en el ritz carlton,18516640,83,NA,NA,easyaviso,25:53.3,223092.0482,19.4246557,-99.1755946,CUAUHTEMOC,15-009
243,ciudad de mexico  cuauhtemoc  preventa  departamentos nuevos  2 recamaras,8.00E+06,92,2,2,easyaviso,25:53.3,86956.52174,19.4303006,-99.1697538,CUAUHTEMOC,15-009
244,venta amplio depto exterior con balcon y estacionamiento fijo a 1 min del angel,6.50E+09,85,2,2,easyaviso,25:53.3,76470588.24,19.4294782,-99.1717085,CUAUHTEMOC,15-009
245,departmento amueblado st regis 2006,19491200,127,2,NA,easyaviso,25:53.3,153474.0157,19.4256427,-99.172342,CUAUHTEMOC,15-009
246,departamento remodelado de 1 recamara venta 5o. piso,2550000,44,NA,NA,easyaviso,25:53.3,57954.54545,19.4353854,-99.1694429,CUAUHTEMOC,15-009
247,excelente ubicaciondepartamento en col cuauhtemocreforma,8500000,150,2,2,easyaviso,25:53.3,56666.66667,19.4282761,-99.1716227,CUAUHTEMOC,15-009
248,hermoso desarrollo  en rio rhin entre reforma y parque sullivan,4899000,68,2,2,easyaviso,25:53.3,72044.11765,19.4317498,-99.1652508,CUAUHTEMOC,15-009
249,en venta hermoso departamento amueblado en rio nilo cuauhtemoc cdmx,6400000,73.4,2,2,easyaviso,25:53.3,87193.46049,19.4276406,-99.1725675,CUAUHTEMOC,15-009
250,departamento en venta rio nazas cuauhtemoc rdv633957,5150000,70,2,2,easyaviso,25:53.3,73571.42857,19.4327866,-99.1665594,CUAUHTEMOC,15-009
251,amplio departamento amueblado en venta con vistas arboladas en la cuauhtemoc,6690000,191,2,3,easyaviso,25:53.3,35026.17801,19.4301322,-99.1691413,CUAUHTEMOC,15-009
252,estrena departamento exterior con 2 terrazas privadas a 1 min del angel,6200000,92,2,2,easyaviso,25:53.3,67391.30435,19.4331732,-99.1703767,CUAUHTEMOC,15-009
253,venta departamento col. cuauhtemoc.,5290000,88,2,2,easyaviso,25:53.3,60113.63636,19.4258936,-99.1758183,CUAUHTEMOC,15-009
254,departamento a estrenar 2 rec. interior.,5770000,70,2,2,easyaviso,25:53.3,82428.57143,19.4316992,-99.1659505,CUAUHTEMOC,15-009
255,departamento a estrenar 1 rec con estudio. interior.,5040000,70,2,NA,easyaviso,25:53.3,72000,19.4316992,-99.1659505,CUAUHTEMOC,15-009
256,departamento interior en venta con roof privado  a estrenar,6455000,70,2,2,easyaviso,25:53.3,92214.28571,19.4316992,-99.1659505,CUAUHTEMOC,15-009
257,estrena hogar en cuauhtemoc departamentos con diseno innovador,5450000,74.25,2,2,easyaviso,25:53.3,73400.6734,19.43139,-99.1656023,CUAUHTEMOC,15-009
258,departamento nuevo en la colonia cuauhtemoc,10052533,121.1,2,2,easyaviso,25:53.3,83010.18167,19.4261769,-99.1738149,CUAUHTEMOC,15-009
259,departamento nuevo en la colonia cuauhtemoc,10612567,122.6,3,3,easyaviso,25:53.3,86562.5367,19.4261769,-99.1738149,CUAUHTEMOC,15-009
260,departamento nuevo en la colonia cuauhtemoc,6417477,75.19,2,2,easyaviso,25:53.3,85350.13965,19.4261769,-99.1738149,CUAUHTEMOC,15-009
261,departamento nuevo en la colonia cuauhtemoc,8284064,94,2,2,easyaviso,25:53.3,88128.34043,19.4261769,-99.1738149,CUAUHTEMOC,15-009
262,departmentos en preventa en cuauhtemoc,6430000,74,2,2,easyaviso,25:53.3,86891.89189,19.4275028,-99.1674324,CUAUHTEMOC,15-009
263,venta departamento col. cuahutemoc,6690000,116.5,NA,2,easyaviso,25:53.3,57424.8927,19.4255513,-99.1751531,CUAUHTEMOC,15-009
264,venta departamento col. cuahutemoc,8390000,139,2,3,easyaviso,25:53.3,60359.71223,19.4255513,-99.1751531,CUAUHTEMOC,15-009
265,departamento en venta en cuauhtemoc,6942835,101.78,2,2,easyaviso,25:53.3,68214.13834,19.4286645,-99.1733662,CUAUHTEMOC,15-009
266,departamentos en preventa en colonia cuauhtemoc,6790000,84.64,NA,NA,easyaviso,25:53.3,80222.1172,19.4264659,-99.1734568,CUAUHTEMOC,15-009
267,ritz carlton residences departamento en venta,6.40E+07,241.58,3,2,easyaviso,25:53.3,264922.5929,19.423797,-99.1756078,CUAUHTEMOC,15-009
268,departamento en venta ritz carlton reforma,30991008,110,2,2,easyaviso,25:53.3,281736.4364,19.423797,-99.1756078,CUAUHTEMOC,15-009
269,departamento en venta rio nilo colonia cuauhtemoc ciudad de mexico,8453077,73,2,2,easyaviso,25:53.3,115795.5753,19.4283006,-99.1717538,CUAUHTEMOC,15-009
270,departamento en venta en rio nilo colonia cuauhtemoc ciudad de mexico,9142965,121,2,2,easyaviso,25:53.3,75561.69421,19.4283006,-99.1717538,CUAUHTEMOC,15-009
271,guadalquivir,6942835,101.78,2,2,easyaviso,25:53.3,68214.13834,19.4292751,-99.1705033,CUAUHTEMOC,15-009
272,departamento en venta en rio nilo cuauhtemoc cdmx,19258729,145,3,3,easyaviso,25:53.3,132818.8207,19.4283006,-99.1717538,CUAUHTEMOC,15-009
273,penthouse con roof garden privado  134m2  1 recamara  2.5 banos  1 estacion,6500000,83,2,NA,easyaviso,25:53.3,78313.25301,19.4316912,-99.1613396,CUAUHTEMOC,15-009
274,venta de nuevo pent house con roof garden privado en col. cuauhtemoc,7800000,134,NA,NA,easyaviso,25:53.3,58208.95522,19.4316912,-99.1613396,CUAUHTEMOC,15-009
275,exclusivo departamento en st. regis,3.80E+07,200,2,2,easyaviso,25:53.3,190000,19.4301322,-99.1691413,CUAUHTEMOC,15-009
276,departamento en venta,4950000,NA,2,2,easyaviso,25:53.3,NA,19.4301322,-99.1691413,CUAUHTEMOC,15-009
277,departamento en venta en la colonia cuauhtemoc,9.00E+06,74,2,2,easyaviso,25:53.3,121621.6216,19.430612,-99.162848,CUAUHTEMOC,15-009
278,cuauhtemoc a 2 cuadras de insurgentes y reforma ph de 2 niveles con 2 estac.,7200000,165,2,2,easyaviso,25:53.3,43636.36364,19.429858,-99.167736,CUAUHTEMOC,15-009
279,rio panuco,5990000,97.75,2,2,easyaviso,25:53.3,61278.77238,19.4298854,-99.1691796,CUAUHTEMOC,15-009
280,reforma. st regis. departamento en venta.,18516640,120,NA,NA,easyaviso,25:53.3,154305.3333,19.4256427,-99.172342,CUAUHTEMOC,15-009
281,rio guadalquivir 4 departamentos en venta,5052570,72.99,2,2,easyaviso,25:53.3,69222.77024,19.432177,-99.171747,CUAUHTEMOC,15-009
282,col. cuauhtemoc departamento en venta cerca del angel de la independencia,6847892,89,2,2,easyaviso,25:53.3,76942.60674,19.425488,-99.173244,CUAUHTEMOC,15-009
283,exclusivo departamento en venta en cuauhtemoc,7990000,142,NA,NA,easyaviso,25:53.3,56267.60563,19.4307209,-99.170468,CUAUHTEMOC,15-009
284,departamento en venta,9981800,100.74,2,2,easyaviso,25:53.3,99084.77268,19.4302751,-99.1695033,CUAUHTEMOC,15-009
285,departamento en venta rio nilo cuauhtemoc,6300000,140,2,2,easyaviso,25:53.3,45000,19.4311322,-99.1681413,CUAUHTEMOC,15-009
286,en venta departamento amoblado en la cuauhtemoc con terraza,5100000,100,NA,NA,easyaviso,25:53.3,51000,19.4253782,-99.1743528,CUAUHTEMOC,15-009
287,venta departamento amueblado,9460000,138,2,2,easyaviso,25:53.3,68550.72464,19.4297502,-99.1708557,CUAUHTEMOC,15-009
288,oportunidad ph con muebles,9990000,100,NA,NA,easyaviso,25:53.3,99900,19.4327502,-99.1678557,CUAUHTEMOC,15-009
289,departamento en venta pb cuauhtemoc,4957000,80,NA,NA,easyaviso,25:53.3,61962.5,19.4317502,-99.1688557,CUAUHTEMOC,15-009
290,dpto. nuevo en venta rio lerma cuauhtemoc,6500000,82.9,2,2,easyaviso,25:53.3,78407.72014,19.4254411,-99.1720587,CUAUHTEMOC,15-009
291,residencias ritz carlton piso 54,76015680,240,2,2,easyaviso,25:53.3,316732,19.423797,-99.1756078,CUAUHTEMOC,15-009
292,st regis 2 reca venta,35084160,189,2,2,easyaviso,25:53.3,185630.4762,19.4256427,-99.172342,CUAUHTEMOC,15-009
293,se vende departamento en la cuahutemoc,4957000,74,NA,NA,easyaviso,25:53.3,66986.48649,19.4301322,-99.1691413,CUAUHTEMOC,15-009
294,departamento en venta colonia cuauhtemoc,3390000,55,NA,NA,easyaviso,25:53.3,61636.36364,19.4308223,-99.1623292,CUAUHTEMOC,15-009
295,cuauhtemoc departamento venta cuauhtemoc cdmx,4800000,120,2,2,easyaviso,25:53.3,40000,19.430554,-99.1675283,CUAUHTEMOC,15-009
296,departamento en venta col. cuauhtemoc a unos pasos de paseo de la reforma,4690000,82,2,2,easyaviso,25:53.3,57195.12195,19.4302766,-99.1634039,CUAUHTEMOC,15-009
297,departamento 77m2 balcon 2 recamaras bodega estacionamiento,5750000,77,2,2,easyaviso,25:53.3,74675.32468,19.429609,-99.162985,CUAUHTEMOC,15-009
298,departamento 134m2 roof garden privado balcon 1 recamara bodega estacionamiento,6500000,134,2,NA,easyaviso,25:53.3,48507.46269,19.430609,-99.161985,CUAUHTEMOC,15-009
299,departamento en venta en cuauhtemoc,6950000,140,2,2,easyaviso,25:53.3,49642.85714,19.4277893,-99.171524,CUAUHTEMOC,15-009
300,venta departamento rio lerma cuauhtemoc,5700000,80,NA,NA,easyaviso,25:53.3,71250,19.4290771,-99.1659999,CUAUHTEMOC,15-009
301,departamento exterior con balcon en venta,6700000,77,2,2,easyaviso,25:53.3,87012.98701,19.4316992,-99.1659505,CUAUHTEMOC,15-009
302,rio misisipi cuauhtemoc,4802550,71,NA,NA,easyaviso,25:53.3,67641.5493,19.4277443,-99.1730046,CUAUHTEMOC,15-009
303,excelente departamento en venta a unos pasos de paseo de la reforma,7900000,NA,2,3,easyaviso,25:53.3,NA,19.4291322,-99.1701413,CUAUHTEMOC,15-009
304,departamento en venta en cuauhtemoc 2 recamaras. rio nilo,5770000,82.49,2,2,easyaviso,25:53.3,69947.87247,19.4305817,-99.1727202,CUAUHTEMOC,15-009
305,cuauhtemoc venta excelentes  departamentos con balcon para estrenar,5975000,70,2,2,easyaviso,25:53.3,85357.14286,19.4310044,-99.1650972,CUAUHTEMOC,15-009
306,departamento amueblado en ritz carlton,83812160,255,3,3,easyaviso,25:53.3,328675.1373,19.4246557,-99.1755946,CUAUHTEMOC,15-009
307,rio misissipi cuauhtemoc,5575000,85,NA,2,easyaviso,25:53.3,65588.23529,19.4277443,-99.1730046,CUAUHTEMOC,15-009
308,rio rhin departamento en venta,7900000,NA,2,3,easyaviso,25:53.3,NA,19.4322204,-99.1659133,CUAUHTEMOC,15-009
309,departamento en rio panuco. muy nuevo,5650000,103,2,2,easyaviso,25:53.3,54854.36893,19.4276902,-99.1734991,CUAUHTEMOC,15-009
310,departamento en venta en cuauhtemoc cdmx,7.00E+06,70,2,2,easyaviso,25:53.3,1.00E+05,19.4316992,-99.1659505,CUAUHTEMOC,15-009
311,estrena condominio en venta en la colonia cuauhtemoc,5862000,97.7,2,2,easyaviso,25:53.3,60000,19.4347497,-99.1698908,CUAUHTEMOC,15-009
312,departamento en venta o renta en ritz carlton,42978096,156.79,2,2,easyaviso,25:53.3,274112.4817,19.4240425,-99.1757592,CUAUHTEMOC,15-009
313,departamento en venta en residencias ritz carlton  reforma cuauhtemoc,15300592,57.96,NA,NA,easyaviso,25:53.3,263985.3692,19.4240425,-99.1757592,CUAUHTEMOC,15-009
314,departamento en venta en ritz carlton reforma cuauhtemoc,17834448,65.18,NA,NA,easyaviso,25:53.3,273618.4106,19.4240425,-99.1757592,CUAUHTEMOC,15-009
315,departamento en venta o renta en ritz carlton cuauhtemoc,81863040,240,2,2,easyaviso,25:53.3,341096,19.423797,-99.1756078,CUAUHTEMOC,15-009
316,hermoso departamento en col san rafael.,2870000,37,NA,NA,easyaviso,25:53.3,77567.56757,19.4343201,-99.1647645,CUAUHTEMOC,15-009
317,venta de departamentos en  col. cuauhtemoc  paseo de la reforma cdmx,5052570,73,2,2,easyaviso,25:53.3,69213.28767,19.4292751,-99.1705033,CUAUHTEMOC,15-009
318,venta de departamentos en rio paunico  colonia cuauhtemoc.,5726800,70,2,2,easyaviso,25:53.3,81811.42857,19.4317093,-99.1659514,CUAUHTEMOC,15-009
319,departamento en venta skypark cuauhtemoc,4974000,73,2,2,easyaviso,25:53.3,68136.9863,19.4321765,-99.1717473,CUAUHTEMOC,15-009
320,departamento en 5to nivel en rio rhin,3200000,78.66,NA,2,easyaviso,25:53.3,40681.41368,19.4301322,-99.1691413,CUAUHTEMOC,15-009
321,departamento en. venta en cuahutemoc,5900000,97,2,2,easyaviso,25:53.3,60824.74227,19.4312529,-99.1613702,CUAUHTEMOC,15-009
322,venta departamento nuevo en colonia cuauhtemoc alcaldia cuauhtemoc,6485000,96.06,2,2,easyaviso,25:53.3,67509.88965,19.4287498,-99.1682508,CUAUHTEMOC,15-009
323,departamento nuevo en venta  rio guadalquivir,6847892,90,2,2,easyaviso,25:53.3,76087.68889,19.4284881,-99.1702442,CUAUHTEMOC,15-009
324,venta departamento en col.cuauhtemoc,6500000,114,NA,2,easyaviso,25:53.3,57017.54386,19.4315806,-99.1635116,CUAUHTEMOC,15-009
325,hermoso pent house de 2 niveles en venta  col. cuauhtemoc,6500000,134,2,NA,easyaviso,25:53.3,48507.46269,19.4316439,-99.1608004,CUAUHTEMOC,15-009
326,departamento en venta en colonia cuauhtemoc guadalquivir 73,6872340,90,2,2,easyaviso,25:53.3,76359.33333,19.4284531,-99.170329,CUAUHTEMOC,15-009
327,penthouse venta cuauhtemoc  con balcon y roof privado  with private rooftop,8960000,170,2,2,easyaviso,25:53.3,52705.88235,19.4293458,-99.1723461,CUAUHTEMOC,15-009
328,departamento en venta en colonia cuauhtemoc,6200000,105,2,2,easyaviso,25:53.3,59047.61905,19.4302007,-99.1688898,CUAUHTEMOC,15-009
329,departamentos 2 recamaras  rio de la plata cuauhtemoc,6417476.37,75.19,2,2,easyaviso,25:53.3,85350.13127,19.4261769,-99.1738149,CUAUHTEMOC,15-009
330,departamentos colonia cuauhtemoc cdmx,2590000,68,NA,NA,easyaviso,25:53.3,38088.23529,19.4319434,-99.1678492,CUAUHTEMOC,15-009
331,departamento en la cuauhtemoc,6418000,75,2,2,easyaviso,25:53.3,85573.33333,19.4245911,-99.1758761,CUAUHTEMOC,15-009
332,rio rhin,6485000,67.64,2,2,easyaviso,25:53.3,95875.22176,19.4333378,-99.1663083,CUAUHTEMOC,15-009
333,departamento en venta ritz carlton sobre paseo de la reforma  2 recamaras,77964800,222,3,2,easyaviso,25:53.3,351192.7928,19.4246557,-99.1755946,CUAUHTEMOC,15-009
334,amazonas con terraza con inquilino,7200000,92,2,2,easyaviso,25:53.3,78260.86957,19.431034,-99.1635384,CUAUHTEMOC,15-009
335,departamento en venta en cuauhtemoc cuauhtemoc,5.00E+06,69,2,2,easyaviso,25:53.3,72463.76812,19.4307209,-99.170468,CUAUHTEMOC,15-009
336,departamento preventa reforma diana 92m2 con 2 balcones 2 recamaras,8050549,92,2,2,easyaviso,25:53.3,87505.96739,19.4263006,-99.1737538,CUAUHTEMOC,15-009
337,departamento en venta en la cuauhtemoc con electrodomesticos,5100000,83,2,2,easyaviso,25:53.3,61445.78313,19.4305817,-99.1727202,CUAUHTEMOC,15-009
338,departamento amueblado en venta en  paseo de reforma,3.30E+07,189,2,2,easyaviso,25:53.3,174603.1746,19.4273694,-99.1684647,CUAUHTEMOC,15-009
339,depto. en venta con terraza privada col. cuauhtemoc.,7475000,90,2,2,easyaviso,25:53.3,83055.55556,19.4310044,-99.1650972,CUAUHTEMOC,15-009
340,depto. en venta en col. cuauhtemoc,5975000,70,2,2,easyaviso,25:53.3,85357.14286,19.4310044,-99.1650972,CUAUHTEMOC,15-009
341,depto. en venta col. cuauhtemoc,6975000,70,2,2,easyaviso,25:53.3,99642.85714,19.4310044,-99.1650972,CUAUHTEMOC,15-009
342,depto. en venta en col. cuauhtemoc,6300000,70,2,2,easyaviso,25:53.3,90000,19.4310044,-99.1650972,CUAUHTEMOC,15-009
343,departamento en venta  cuauhtemoc  cuauhtemoc cdmx,5980000,107.63,2,2,easyaviso,25:53.3,55560.71727,19.4352499,-99.1693471,CUAUHTEMOC,15-009
344,venta departamento en la cuauhtemoc,5900000,94,2,2,easyaviso,25:53.3,62765.95745,19.4337147,-99.1705028,CUAUHTEMOC,15-009
345,departamento en venta  2 rec. cuauhtemoc. consin muebles,6200000,95,2,2,easyaviso,25:53.3,65263.15789,19.4284531,-99.170329,CUAUHTEMOC,15-009
