oferta,precio,mts,bathrooms,recamaras,lat,lon,fuente,fecha_consulta,precio_m2
departamento en renta rio panuco,35000.0,80.0,2.0,2.0,19.4298854,-99.1691796,easyaviso,2025-05-07 12:28:03.532203,437.5
se renta departamento en paseo de la reforma cuauhtemoc. ch30,75000.0,170.0,2.0,,19.4301322,-99.1691413,easyaviso,2025-05-07 12:28:03.532203,441.1764705882353
rento departamento en alcaldia cuauhtemoc cdmx,43000.0,90.0,2.0,2.0,19.4317498,-99.1652508,easyaviso,2025-05-07 12:28:03.532203,477.77777777777777
rento departamento en alcaldia cuauhtemoc cdmx,34000.0,90.0,2.0,2.0,19.4347498,-99.1622508,easyaviso,2025-05-07 12:28:03.532203,377.77777777777777
renta departamento  be grand alto polanco t3 3rec2b 2ebalc,55000.0,111.0,2.0,3.0,19.4407819,-99.1815557,easyaviso,2025-05-07 12:28:03.532203,495.4954954954955
departamento en renta en cuauhtemoc jh138,28000.0,83.0,,,19.3191980044,-99.2447106024,easyaviso,2025-05-07 12:28:03.532203,337.34939759036143
hermoso ph en renta con roof garden privado,39000.0,200.0,2.0,2.0,19.431105,-99.1614154,easyaviso,2025-05-07 12:28:03.532203,195.0
renta departamento col. san rafael,23000.0,85.0,,2.0,19.4406502,-99.1654783,easyaviso,2025-05-07 12:28:03.532203,270.5882352941176
departamento amoblado en renta en colonia cuauhtemoc,36000.0,120.0,2.0,2.0,19.4264659,-99.1734568,easyaviso,2025-05-07 12:28:03.532203,300.0
departamento en rio neva pj214,38000.0,110.0,2.0,2.0,19.4154843,-99.1542392,easyaviso,2025-05-07 12:28:03.532203,345.45454545454544
ciudad de mexico  cuauhtemoc  en renta  departamento  1 recamara,26500.0,83.0,,,19.4326932,-99.1619465,easyaviso,2025-05-07 12:28:03.532203,319.27710843373495
renta departamento colonia cuauhtemoc amueblado y equipado,54000.0,96.0,2.0,2.0,19.4343378,-99.1653083,easyaviso,2025-05-07 12:28:03.532203,562.5
renta departamento colonia cuauhtemoc amueblado y equipado,49000.0,74.0,2.0,2.0,19.4298484,-99.1691571,easyaviso,2025-05-07 12:28:03.532203,662.1621621621622
renta departamento colonia cuauhtemoc amueblado y equipado,39000.0,44.0,,,19.4298484,-99.1691571,easyaviso,2025-05-07 12:28:03.532203,886.3636363636364
departamento amueblado en be grand alto polanco  linda vista,24000.0,60.0,,,19.4395976,-99.1825289,easyaviso,2025-05-07 12:28:03.532203,400.0
exclusivo departamento exterior en excelente ubicacion,42000.0,173.0,3.0,3.0,19.4296572,-99.1705995,easyaviso,2025-05-07 12:28:03.532203,242.77456647398844
renta departamento en be grand alto polanco.,29500.0,96.0,2.0,2.0,19.4398600474,-99.183370178,easyaviso,2025-05-07 12:28:03.532203,307.2916666666667
renta departamento ph en edificio de estilo art deco.,34900.0,132.0,2.0,,19.4281566,-99.1740835,easyaviso,2025-05-07 12:28:03.532203,264.3939393939394
excelente departamento en renta amueblado,16500.0,55.0,,,19.4289499,-99.1711628,easyaviso,2025-05-07 12:28:03.532203,300.0
excelente departamento en renta en cuauhtemoc,16500.0,55.0,,,19.4303948184,-99.171888849,easyaviso,2025-05-07 12:28:03.532203,300.0
departamento amueblado en renta cuauhtemoc rio panuco,35000.0,110.0,2.0,3.0,19.429799547,-99.1693590433,easyaviso,2025-05-07 12:28:03.532203,318.1818181818182
departamento renta cuauhtemoc,28000.0,103.0,2.0,2.0,19.4319761,-99.1654727,easyaviso,2025-05-07 12:28:03.532203,271.84466019417476
vive el lujo y confort de st regis mexico city,75000.0,,,,19.4252897,-99.17226,easyaviso,2025-05-07 12:28:03.532203,
departamento renta napoles,34000.0,180.0,2.0,2.0,19.4255998,-99.1331588,easyaviso,2025-05-07 12:28:03.532203,188.88888888888889
departamento amueblado en renta colonia cuauhtemoc. jb328,35000.0,107.0,2.0,3.0,19.3191980044,-99.2447106024,easyaviso,2025-05-07 12:28:03.532203,327.10280373831773
renta  departamento en  colonia cuauhtemoc sin muebles,35000.0,74.0,2.0,2.0,19.4308928,-99.1682113,easyaviso,2025-05-07 12:28:03.532203,472.97297297297297
departamento renta en col. cuauhtemoc  35m2,16000.0,35.0,,,19.4286776,-99.1693142,easyaviso,2025-05-07 12:28:03.532203,457.14285714285717
departamento en renta san rafael,16000.0,60.0,,2.0,19.4382807529,-99.1574845897,easyaviso,2025-05-07 12:28:03.532203,266.6666666666667
departamento en renta en cuauhtemoc reforma,44000.0,100.0,2.0,2.0,19.428903,-99.1718807,easyaviso,2025-05-07 12:28:03.532203,440.0
departamento en renta en cuauhtemoc amueblado m2d3359,38000.0,120.0,,2.0,19.4335534,-99.1708936,easyaviso,2025-05-07 12:28:03.532203,316.6666666666667
renta de departamento en cuauhtemoc,39500.0,143.0,3.0,3.0,19.4271322,-99.1721413,easyaviso,2025-05-07 12:28:03.532203,276.2237762237762
asesor liz escamilla le449,22000.0,55.0,,,19.4356338,-99.1495107,easyaviso,2025-05-07 12:28:03.532203,400.0
departamento en renta con roof garden privado  col san rafael,21200.0,68.0,,2.0,19.4372444173,-99.1618359089,easyaviso,2025-05-07 12:28:03.532203,311.7647058823529
renta de departamento  col. anahuac,22000.0,74.0,2.0,2.0,19.4395477,-99.1772318,easyaviso,2025-05-07 12:28:03.532203,297.2972972972973
renta departamento san rafael cuauhtemoc,24500.0,85.0,,2.0,19.4406502,-99.1654783,easyaviso,2025-05-07 12:28:03.532203,288.2352941176471
departamento en venta be grand alto polanco 2 recamaras,45000.0,80.89,2.0,2.0,19.4402323,-99.1820243,easyaviso,2025-05-07 12:28:03.532203,556.3110396835208
renta be grand alto polanco amueblado diseno  gym  alberca jardines,68000.0,111.0,2.0,3.0,19.4409539,-99.1820208,easyaviso,2025-05-07 12:28:03.532203,612.6126126126126
renta departamento completamente amueblado en cdmx a 5 min de polanco,17500.0,52.0,,,19.4358671,-99.1741661,easyaviso,2025-05-07 12:28:03.532203,336.53846153846155
se renta departamento totalmente amueblado a 2 cuadras de ejercito nacional,17500.0,69.0,,,19.4358671,-99.1741661,easyaviso,2025-05-07 12:28:03.532203,253.6231884057971
departamento renta be grand polanco anahuac miguel hidalgo,31500.0,97.0,2.0,2.0,19.4394957,-99.1825836,easyaviso,2025-05-07 12:28:03.532203,324.74226804123714
renta de departamento en rio papaloapan cuauhtemoc lc352,26500.0,83.0,,,19.4293165541,-99.1655843488,easyaviso,2025-05-07 12:28:03.532203,319.27710843373495
departamento en cuauhtemoc,55500.0,220.0,3.0,3.0,19.4311644,-99.1637565,easyaviso,2025-05-07 12:28:03.532203,252.27272727272728
renta de departamento en cuauhtemoc cmdx,26000.0,76.0,2.0,2.0,19.4291322,-99.1701413,easyaviso,2025-05-07 12:28:03.532203,342.10526315789474
renta ph en cuauhtemoc con roof garden privado,42000.0,178.0,2.0,2.0,19.4319790196,-99.167419842,easyaviso,2025-05-07 12:28:03.532203,235.95505617977528
oficina en renta colonia cuauhtemoc kf243,82000.0,360.0,,,19.4301322,-99.1691413,easyaviso,2025-05-07 12:28:03.532203,227.77777777777777
departamento en renta colonia cuauhtemoc  jb267,15000.0,60.0,,,19.4301322,-99.1691413,easyaviso,2025-05-07 12:28:03.532203,250.0
departamento en renta col. cuauhtemoc  jb266,18500.0,75.0,,,19.4301322,-99.1691413,easyaviso,2025-05-07 12:28:03.532203,246.66666666666666
estupendo depto se renta en be grand alto polanco torre 1,28500.0,,2.0,2.0,19.4394957,-99.1825836,easyaviso,2025-05-07 12:28:03.532203,
renta de departamento en cuauhtemoc renacimiento. jpl173,56500.0,200.0,3.0,3.0,19.4159705,-99.154374,easyaviso,2025-05-07 12:28:03.532203,282.5
hermoso departamento amueblado en renta col. cuauhtemoc cdmx,37000.0,83.0,2.0,2.0,19.4296576,-99.1739219,easyaviso,2025-05-07 12:28:03.532203,445.7831325301205
departamento en renta veronica anzures  pj205,66000.0,280.0,3.0,3.0,19.4376807,-99.1777357,easyaviso,2025-05-07 12:28:03.532203,235.71428571428572
comodo espacio en la  col. anahuac,11000.0,52.0,,,19.4481649,-99.1898697,easyaviso,2025-05-07 12:28:03.532203,211.53846153846155
loft en renta   col.  anahuac,9000.0,33.0,,,19.4481649,-99.1898697,easyaviso,2025-05-07 12:28:03.532203,272.72727272727275
renta de departamento en cuauhtemoc  con roof garden privado,42000.0,90.0,2.0,2.0,19.4310044,-99.1650972,easyaviso,2025-05-07 12:28:03.532203,466.6666666666667
departamento 44m2 amueblado de 1 recamara con servicios incluidos en cuauhtemoc,31000.0,44.0,,,19.435877,-99.1630317,easyaviso,2025-05-07 12:28:03.532203,704.5454545454545
renta departamento amueblado en la cuauhtemoc con roof garden privado,52000.0,120.0,2.0,2.0,19.4331046,-99.1695287,easyaviso,2025-05-07 12:28:03.532203,433.3333333333333
departamento en cuauhtemoc cuauhtemoc,20000.0,95.0,2.0,3.0,19.4306386,-99.1698367,easyaviso,2025-05-07 12:28:03.532203,210.52631578947367
departamento amueblado en renta col. cuauhtemoc,35500.0,85.0,2.0,2.0,19.4321346,-99.1694294,easyaviso,2025-05-07 12:28:03.532203,417.6470588235294
departamento en renta en san rafael cuauhtemoc jb313,26000.0,81.0,3.0,2.0,22.5345597,-102.3162231,easyaviso,2025-05-07 12:28:03.532203,320.98765432098764
renta depa amueblado en cuauhtemoc,23000.0,56.0,,,19.4264848,-99.174877,easyaviso,2025-05-07 12:28:03.532203,410.7142857142857
renta departamento semiamueblado skyview polanco 2 recamaras,28500.0,96.0,2.0,2.0,19.4370313183,-99.180610955,easyaviso,2025-05-07 12:28:03.532203,296.875
renta departamento amueblado,31000.0,50.0,,,19.432877,-99.1660317,easyaviso,2025-05-07 12:28:03.532203,620.0
departamento en renta en cuauhtemoc,26000.0,103.0,2.0,2.0,19.4313309,-99.1700365,easyaviso,2025-05-07 12:28:03.532203,252.4271844660194
renta departamentos amueblados a una cuadra de paseo de la reforma,30000.0,90.0,2.0,2.0,19.4298746,-99.1668303,easyaviso,2025-05-07 12:28:03.532203,333.3333333333333
departamento en renta o venta amueblado skytown insurgentes,46000.0,80.76,2.0,2.0,19.4262604,-99.1616288,easyaviso,2025-05-07 12:28:03.532203,569.5889053987122
renta  venta departamento amueblado a unos pasos de reforma,56000.0,220.0,3.0,3.0,19.4314584724,-99.1637645158,easyaviso,2025-05-07 12:28:03.532203,254.54545454545453
departamento en renta en cuauhtemoc,30000.0,80.0,2.0,2.0,19.4320536644,-99.1704919249,easyaviso,2025-05-07 12:28:03.532203,375.0
renta departamento en villalongin,30000.0,80.0,2.0,2.0,19.4343734,-99.1694006,easyaviso,2025-05-07 12:28:03.532203,375.0
departamento  amueblado en renta cuauhtemoc,54000.0,96.0,2.0,2.0,19.4333378,-99.1663083,easyaviso,2025-05-07 12:28:03.532203,562.5
renta y estrena gran depto. t02 en la col. cuauhtemoc,24000.0,98.0,,2.0,19.4332371,-99.1646598,easyaviso,2025-05-07 12:28:03.532203,244.89795918367346
departamento en renta en 38000.00 en cuauhtemoc,38000.0,120.0,2.0,2.0,19.4301322,-99.1691413,easyaviso,2025-05-07 12:28:03.532203,316.6666666666667
renta departamento anzures,35000.0,,2.0,2.0,19.437516,-99.1729857,easyaviso,2025-05-07 12:28:03.532203,
increible suits en ritz  carlton reforma,60000.0,58.0,,,19.4273694,-99.1684647,easyaviso,2025-05-07 12:28:03.532203,1034.4827586206898
amueblado en col. cuauhtemoc cerca telmex 1 rec.,20000.0,50.0,,,19.434459,-99.1688251,easyaviso,2025-05-07 12:28:03.532203,400.0
renta de departamento amueblado en cuauhtemoc jpl165,31000.0,91.0,2.0,2.0,19.4301322,-99.1691413,easyaviso,2025-05-07 12:28:03.532203,340.65934065934067
amuebladoen edificio pequeno con roof y calle tranquila,27000.0,70.0,,,19.431738,-99.1708389,easyaviso,2025-05-07 12:28:03.532203,385.7142857142857
renta de departamento en cuauhtemoc reforma.  ct598,30000.0,98.0,2.0,3.0,19.4301322,-99.1691413,easyaviso,2025-05-07 12:28:03.532203,306.1224489795918
se renta departamento sa18,18000.0,60.0,,,19.4532294,-99.1562314,easyaviso,2025-05-07 12:28:03.532203,300.0
departamento en cuauhtemoc,22000.0,100.0,2.0,3.0,19.4364982,-99.1657027,easyaviso,2025-05-07 12:28:03.532203,220.0
ph amoblado con terraza privada en reforma  60m2,17400.0,60.0,,,19.4269984,-99.1701674,easyaviso,2025-05-07 12:28:03.532203,290.0
departamento amueblado en la colonia cuauhtemoc jpl164,44000.0,170.0,3.0,5.0,19.4337766,-99.1526556,easyaviso,2025-05-07 12:28:03.532203,258.8235294117647
departamento ejecutivo en renta en reforma 127m2,85000.0,127.0,,,19.4256427,-99.172342,easyaviso,2025-05-07 12:28:03.532203,669.2913385826772
renta departamento en cuauhtemoc cdmx ch79,43000.0,90.0,2.0,2.0,19.4301322,-99.1691413,easyaviso,2025-05-07 12:28:03.532203,477.77777777777777
departamento en renta  col. san rafael cuauhtemoc cdmx,18000.0,67.0,2.0,2.0,19.4408415,-99.156669,easyaviso,2025-05-07 12:28:03.532203,268.65671641791045
departamentos renta en cuauhtemoc amueblados,24150.0,43.0,,,19.4336338,-99.1515107,easyaviso,2025-05-07 12:28:03.532203,561.6279069767442
departamento en renta en cuauhtemoc,38000.0,120.0,,2.0,19.4335862,-99.1698593,easyaviso,2025-05-07 12:28:03.532203,316.6666666666667
st regis 2606 1 recamara amueblado,95000.0,,,,19.4256427,-99.172342,easyaviso,2025-05-07 12:28:03.532203,
rento departamento amueblado juarez,46000.0,99.0,,2.0,19.4274125,-99.1585877,easyaviso,2025-05-07 12:28:03.532203,464.64646464646466
alquile en be grand alto polanco amenidades,68558.0,111.0,2.0,3.0,19.4409539,-99.1820208,easyaviso,2025-05-07 12:28:03.532203,617.6396396396397
